tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N607CZ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N607JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N607LR,2008,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N607NK,2011,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N607NN,2019,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N607UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N608AT,2000,NA,BOEING,717-200,2,100,NA,Turbo-fan
N608JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N608NK,2011,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N608NN,2019,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N608SK,2006,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N608UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N609NK,2011,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N609NN,2019,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N609UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N610CZ,2007,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N610UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N611NK,2012,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N611UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N612JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N612NK,2012,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N612UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N613CZ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N613JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N613NK,2012,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N613UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N614CZ,2008,NA,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2,80,NA,Turbo-fan
N614NK,2012,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N614NN,NA,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N614QX,2002,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N614UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N615JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N615NK,2012,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N615UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N616NK,2012,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N616UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N617NK,2012,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N617UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N61881,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N61882,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N61886,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N61887,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N61898,2016,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N618JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N618NK,2013,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N618UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N619NK,2013,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N619UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N620NK,2013,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N620UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N621JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N621NK,2013,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N621UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N622NK,2013,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N622UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N623JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N623NK,2013,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N623UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N624AG,1993,NA,BOEING,757-2Q8,2,178,NA,Turbo-fan
N624JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N624NK,2013,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N624UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N625JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N625NK,NA,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N625UX,2019,NA,EMBRAER S A,ERJ 170-200 LL,2,88,NA,Turbo-fan
N626NK,2014,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N627JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N627NK,2014,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N62849,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N62883,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N62884,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N62889,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N62892,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N62894,2016,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N62895,2016,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N62896,2016,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N628NK,2014,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N629JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N629NK,2014,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N630JB,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N630NK,2014,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N631NK,2014,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N631RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N632JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N632NK,2014,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N632RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N633JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N633NK,2014,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N633RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N633SK,2011,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N634JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N634NK,2014,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N634RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N635JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N635NK,2014,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N635RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N636JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N636NK,2015,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N636RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N637JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N637NK,2015,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N637RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N63820,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N63890,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N63899,2016,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N638JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N638NK,2015,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N638RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N639JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N639NK,2015,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N639RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N640JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N640NK,2015,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N640RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N641JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N641NK,2015,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N641RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N641UA,1991,NA,BOEING,767-322,2,330,NA,Turbo-fan
N642NK,2015,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N642RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N642UA,1991,NA,BOEING,767-322,2,330,NA,Turbo-fan
N643JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N643NK,2015,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N643RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N643UA,1991,NA,BOEING,767-322,2,330,NA,Turbo-fan
N644JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N644NK,2016,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N644RW,2004,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N644UA,1991,NA,BOEING,767-322,2,330,NA,Turbo-fan
N645JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N645NK,2016,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N645RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N646JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N646NK,2016,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N646RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N646UA,1992,NA,BOEING,767-322,2,330,NA,Turbo-fan
N647AW,1997,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N647NK,2017,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N647RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N647UA,1992,NA,BOEING,767-322,2,330,NA,Turbo-fan
N64809,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N64844,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N648JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N648NK,2017,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N648RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N648UA,1992,NA,BOEING,767-322,2,330,NA,Turbo-fan
N649AW,1998,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N649JB,2006,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N649NK,2017,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N649RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N649UA,1992,NA,BOEING,767-322,2,330,NA,Turbo-fan
N650AW,1998,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N650NK,2017,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N650RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N651AW,1998,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N651JB,2007,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N651NK,2017,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N651RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N651UA,1992,NA,BOEING,767-322,2,330,NA,Turbo-fan
N652AW,1999,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N652JB,2007,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N652NK,2017,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N652RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N652UA,1992,NA,BOEING,767-322,2,330,NA,Turbo-fan
N653AW,1999,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N653JB,2007,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N653NK,2018,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N653RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N653UA,1992,NA,BOEING,767-322,2,330,NA,Turbo-fan
N654AW,1999,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N654NK,2018,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N654RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N654UA,1992,NA,BOEING,767-322,2,330,NA,Turbo-fan
N655AW,1999,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N655CA,NA,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N655JB,2007,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N655NK,2018,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N655RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N655UA,1992,NA,BOEING,767-322,2,330,NA,Turbo-fan
N656AW,1999,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N656JB,2007,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N656NK,2018,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N656RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N656UA,1993,NA,BOEING,767-322,2,330,NA,Turbo-fan
N657AW,1999,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N657JB,2007,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N657NK,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N657RW,2005,NA,EMBRAER,ERJ 170-100 SE,2,70,NA,Turbo-fan
N657UA,1993,NA,BOEING,767-322,2,330,NA,Turbo-fan
N65832,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N658AW,1999,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N658CA,2004,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N658DL,1990,NA,BOEING,757-232,2,178,NA,Turbo-fan
N658JB,2007,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N658NK,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N658UA,1993,NA,BOEING,767-322,2,330,NA,Turbo-fan
N659AW,2000,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N659DL,1990,NA,BOEING,757-232,2,178,NA,Turbo-fan
N659JB,2007,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N659NK,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N659UA,1993,NA,BOEING,767-322,2,330,NA,Turbo-fan
N66051,2000,NA,BOEING,767-424ER,2,292,NA,Turbo-fan
N66056,2001,NA,BOEING,767-424ER,2,292,NA,Turbo-fan
N66057,2002,NA,BOEING,767-424ER,2,292,NA,Turbo-fan
N660AW,2000,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N660DL,1990,NA,BOEING,757-232,2,178,NA,Turbo-fan
N660NK,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N660UA,1993,NA,BOEING,767-322,2,330,NA,Turbo-fan
N661JB,2007,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N661NK,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N661UA,1993,NA,BOEING,767-322,2,330,NA,Turbo-fan
N662AW,2000,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N662JB,2007,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N662NK,2015,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N662UA,1993,NA,BOEING,767-322,2,330,NA,Turbo-fan
N663AW,2001,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N663JB,2007,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N663NK,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N663UA,1993,NA,BOEING,767-322,2,330,NA,Turbo-fan
N664AW,2001,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N664NK,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N664UA,1998,NA,BOEING,767-322,2,330,NA,Turbo-fan
N665AW,2001,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N665DN,1991,NA,BOEING,757-232,2,178,NA,Turbo-fan
N665JB,2007,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N665NK,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N665UA,1998,NA,BOEING,767-322,2,330,NA,Turbo-fan
N666UA,1998,NA,BOEING,767-322,2,330,NA,Turbo-fan
N667AW,2002,NA,AIRBUS INDUSTRIE,A320-232,2,200,NA,Turbo-fan
N667DN,1991,NA,BOEING,757-232,2,178,NA,Turbo-fan
N667NK,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N667UA,1998,NA,BOEING,767-322,2,330,NA,Turbo-fan
N66803,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N66808,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N66814,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N66825,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N66828,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N66831,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N66837,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N66841,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N66848,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N66893,2016,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N66897,2016,NA,BOEING,737-900ER,2,222,NA,Turbo-fan
N668AW,2002,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N668CA,2004,NA,BOMBARDIER INC,CL-600-2C10,2,80,NA,Turbo-fan
N668DN,1991,NA,BOEING,757-232,2,178,NA,Turbo-fan
N668NK,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N668UA,1999,NA,BOEING,767-322,2,330,NA,Turbo-fan
N669AW,2002,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N669DN,1991,NA,BOEING,757-232,2,178,NA,Turbo-fan
N669NK,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N669UA,1999,NA,BOEING,767-322,2,330,NA,Turbo-fan
N6702,1999,NA,BOEING,757-232,2,178,NA,Turbo-fan
N6704Z,2000,NA,BOEING,757-232,2,178,NA,Turbo-fan
N67052,2000,NA,BOEING,767-424ER,2,292,NA,Turbo-fan
N6705Y,2000,NA,BOEING,757-232,2,178,NA,Turbo-fan
N6706Q,2000,NA,BOEING,757-232,2,178,NA,Turbo-fan
N6707A,2000,NA,BOEING,757-232,2,178,NA,Turbo-fan
N6708D,2000,NA,BOEING,757-232,2,178,NA,Turbo-fan
N6709,2000,NA,BOEING,757-232,2,178,NA,Turbo-fan
N670DN,1992,NA,BOEING,757-232,2,178,NA,Turbo-fan
N670NK,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N670UA,1999,NA,BOEING,767-322,2,330,NA,Turbo-fan
N6710E,2000,NA,BOEING,757-232,2,178,NA,Turbo-fan
N6711M,2000,NA,BOEING,757-232,2,178,NA,Turbo-fan
N6712B,2000,NA,BOEING,757-232,2,178,NA,Turbo-fan
N67134,1999,NA,BOEING,757-224,2,178,NA,Turbo-fan
N6713Y,2000,NA,BOEING,757-232,2,178,NA,Turbo-fan
N6714Q,2000,NA,BOEING,757-232,2,178,NA,Turbo-fan
N6715C,2001,NA,BOEING,757-232,2,178,NA,Turbo-fan
N6716C,2001,NA,BOEING,757-232,2,178,NA,Turbo-fan
N67171,2001,NA,BOEING,757-232,2,178,NA,Turbo-fan
N671DN,1992,NA,BOEING,757-232,2,178,NA,Turbo-fan
N671NK,2016,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N671UA,1999,NA,BOEING,767-322,2,330,NA,Turbo-fan
N672DL,1992,NA,BOEING,757-232,2,178,NA,Turbo-fan
N672NK,2017,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N672UA,1999,NA,BOEING,767-322,2,330,NA,Turbo-fan
N673AW,NA,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N673DL,1992,NA,BOEING,757-232,2,178,NA,Turbo-fan
N673NK,2017,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N673UA,2000,NA,BOEING,767-322,2,330,NA,Turbo-fan
N674DL,1992,NA,BOEING,757-232,2,178,NA,Turbo-fan
N674NK,2017,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N674UA,2000,NA,BOEING,767-322,2,330,NA,Turbo-fan
N67501,2018,NA,BOEING,737-9,2,48,NA,Turbo-fan
N675DL,1992,NA,BOEING,757-232,2,178,NA,Turbo-fan
N675NK,2017,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N675UA,2000,NA,BOEING,767-322,2,330,NA,Turbo-fan
N676CA,2007,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N676DL,1992,NA,BOEING,757-232,2,178,NA,Turbo-fan
N676NK,2017,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N676UA,2001,NA,BOEING,767-322,2,330,NA,Turbo-fan
N677NK,2017,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N677UA,2001,NA,BOEING,767-322,2,330,NA,Turbo-fan
N67812,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N67815,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N67827,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N67845,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N67846,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N678CA,2007,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N678DL,1992,NA,BOEING,757-232,2,178,NA,Turbo-fan
N678NK,2017,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N679AW,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N679CA,2007,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N679DA,1992,NA,BOEING,757-232,2,178,NA,Turbo-fan
N679NK,2017,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N68061,2002,NA,BOEING,767-424ER,2,292,NA,Turbo-fan
N680AW,2005,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N680NK,2017,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N681DA,1993,NA,BOEING,757-232,2,178,NA,Turbo-fan
N681NK,2017,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N682DA,1993,NA,BOEING,757-232,2,178,NA,Turbo-fan
N682NK,2017,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N683DA,1993,NA,BOEING,757-232,2,178,NA,Turbo-fan
N683NK,2018,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N68452,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68453,2012,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N684DA,1993,NA,BOEING,757-232,2,178,NA,Turbo-fan
N684NK,2018,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N684UA,2002,NA,BOEING,767-3CB,2,300,NA,Turbo-fan
N685DA,1995,NA,BOEING,757-232,2,178,NA,Turbo-fan
N685NK,2018,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N685UA,2002,NA,BOEING,767-3CB,2,300,NA,Turbo-fan
N686DA,1995,NA,BOEING,757-232,2,178,NA,Turbo-fan
N686NK,2018,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N686UA,2003,NA,BOEING,767-3CB,2,300,NA,Turbo-fan
N687DL,1998,NA,BOEING,757-232,2,178,NA,Turbo-fan
N687NK,2018,NA,AIRBUS,A321-231,2,379,NA,Turbo-fan
N68801,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68802,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68805,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68807,2013,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68811,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68817,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68821,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68822,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68823,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68834,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68836,2014,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68842,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68843,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68880,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N68891,2015,NA,BOEING,737-924ER,2,191,NA,Turbo-fan
N688DL,1998,NA,BOEING,757-232,2,178,NA,Turbo-fan
N689CA,2007,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N689DL,1998,NA,BOEING,757-232,2,178,NA,Turbo-fan
N69020,2007,NA,BOEING,777-224,2,400,NA,Turbo-fan
N69059,2002,NA,BOEING,767-424ER,2,292,NA,Turbo-fan
N69063,2002,NA,BOEING,767-424ER,2,292,NA,Turbo-fan
N690DL,1998,NA,BOEING,757-232,2,178,NA,Turbo-fan
N690NK,2018,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N691CA,2007,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N691NK,2018,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
N692CA,2006,NA,BOMBARDIER INC,CL-600-2D24,2,95,NA,Turbo-fan
N692DL,1998,NA,BOEING,757-232,2,178,NA,Turbo-fan
N692NK,2018,NA,AIRBUS,A320-232,2,200,NA,Turbo-fan
